,Title,Location,City,Company,Salary_Range,Salary_Avg,Summary,BOS,CHI,DC,HOU,NY,SF
32,"Research Analyst, Latin America","New York, NY",NY,        The Economist Group,61k-80k,70.5,"The Economist Group is the leading source of analysis on international business and world affairs. We deliver our information through a range of formats, from",0.0,0.0,0.0,0.0,1.0,0.0
33,Research Analyst- Tactical Planning,"New York, NY",NY,        GroupM,61k-80k,70.5,"DEPARTMENT DESCRIPTION: GroupM Implementation Research We are the implementation strategy, research and development division of GroupM. Our services include",0.0,0.0,0.0,0.0,1.0,0.0
34,"Quality Assurance Analyst, Bureau of Vital Statistics","Manhattan, NY",NY,        DEPT OF HEALTH/MENTAL HYGIENE,61k-80k,70.5,"Two years as a City Research Scientist Level I can be substituted for the experience required in ""1"" and ""2"" above....",0.0,0.0,0.0,0.0,1.0,0.0
35,Research Analyst/Resource Manager,"New York, NY 10016 (Gramercy area)",NY,        MDRC,61k-80k,70.5,"Serve as a member of project teams involved in one or more aspects of site development, data collection, or analyses....",0.0,0.0,0.0,0.0,1.0,0.0
36,Member and Research Analyst,"New York, NY",NY,        Bonnier Corporation,61k-80k,70.5,"⦁ Timely resource materials that provide useful data and content to build knowledge. ⦁ Ability to mine, collate and publish relevant and meaningful data and...",0.0,0.0,0.0,0.0,1.0,0.0
37,Senior Research Analyst,"New York, NY",NY,"    Business Insider, Inc.",61k-80k,70.5,"Proficiency with excel, data, and charts. We’re hiring a Senior Research Analyst to join our growing team at Business Insider Intelligence....",0.0,0.0,0.0,0.0,1.0,0.0
38,Patient Experience Improvemnt Analyst,"New York, NY",NY,        NYU Langone Medical Center,61k-80k,70.5,Interprets data results using a variety of techniques from simple data extraction to complex data mining independently....,0.0,0.0,0.0,0.0,1.0,0.0
39,Senior Data Analyst,"New York, NY",NY,        NYU Langone Medical Center,61k-80k,70.5,Assist in the on-going efforts to develop data dashboards pushing real time data for the Development Office. In collaboration with the entire Data Services Team...,0.0,0.0,0.0,0.0,1.0,0.0
40,Disaster Recovery Case Agent,"New York, NY",NY,        ICF International,61k-80k,70.5,"We are business analysts, policy specialists, technologists, researchers, digital strategists, social scientists and creatives....",0.0,0.0,0.0,0.0,1.0,0.0
41,Part Time Data Science Instructor,"New York, NY 10010 (Gramercy area)",NY,        General Assembly,61k-80k,70.5,"Data visualization techniques; Data Science Instructor Overview. Manipulation of large data sets; You are eager to shape the skills, minds, and trajectories of...",0.0,0.0,0.0,0.0,1.0,0.0
42,Disaster Recovery Elevated Financial Case Agent,"New York, NY",NY,        ICF International,61k-80k,70.5,"We are business analysts, policy specialists, technologists, researchers, digital strategists, social scientists and creatives....",0.0,0.0,0.0,0.0,1.0,0.0
43,Senior Market Research Analyst,"New York, NY 10013 (Tribeca area)",NY,        Pearson,61k-80k,70.5,+ Advanced data analysis and data visualization skills\. + Strong analytical abilities and aptitude for using data to inform decision\-making....,0.0,0.0,0.0,0.0,1.0,0.0
44,"Research Analyst - Robotics, AI and Machine Learning","New York, NY",NY,    Lux Research,61k-80k,70.5,"Driven by proprietary primary research, not just publicly available data. Produce written research reports, including creative visual depictions of data and...",0.0,0.0,0.0,0.0,1.0,0.0
45,SR ASSOCIATE RESEARCHER,"New York, NY 10029 (Yorkville area)",NY,        Mount Sinai Health System,61k-80k,70.5,Reviews and presents data for publication or presentation. Assists the Principal Investigator with publications by extracting and compiling data;...,0.0,0.0,0.0,0.0,1.0,0.0
46,Associate Research Scientist,"New York, NY",NY,        Columbia University,61k-80k,70.5,"The ARS/Modeler will report to the Director, Columbia Water Center, and will work closely with other senior scientists to develop, conduct and manage various...",0.0,0.0,0.0,0.0,1.0,0.0
47,"Data Analyst, Bureau of Mental Health/Research and Evaluatio...","New York, NY",NY,        DEPT OF HEALTH/MENTAL HYGIENE,61k-80k,70.5,"Monitor, maintain, troubleshoot, and improve data collection systems to ensure data quality and reliability....",0.0,0.0,0.0,0.0,1.0,0.0
48,Statistical Programmer - CDISC Specialist,"Whippany, NJ",NY,    Planet Pharma,61k-80k,70.5,Relevant standards are CDISC-based data structures such as SDTM and ADaM together with other data models....,0.0,0.0,0.0,0.0,1.0,0.0
49,Epic Orders Analyst,"New York, NY",NY,        NYU Langone Medical Center,61k-80k,70.5,"Analyze data conversion needs. This position routinely performs in-depth analysis of workflows, data collection, report details, and other technical issues...",0.0,0.0,0.0,0.0,1.0,0.0
50,Laboratory Manager,"New York, NY",NY,        Weill Cornell Medical College,61k-80k,70.5,Submits research data to public database for published research work. Assists with submission of Progress reports and Quarterly Lab Reporting to track...,0.0,0.0,0.0,0.0,1.0,0.0
51,HRIS Manager,"New York, NY",NY,        Springer Nature,61k-80k,70.5,"Bachelor’s degree with 5+ years’ experience working with HR systems and data. Serve as a master user for our HRIS and time and attendance systems, ensuring data...",0.0,0.0,0.0,0.0,1.0,0.0
52,Litigation Research Analyst,"New York, NY",NY,        Debevoise & Plimpton LLP,61k-80k,70.5,"Litigation Research Analyst Knowledge Management Services Debevoise & Plimpton LLP is a premier law firm with market-leading practices, a global perspective",0.0,0.0,0.0,0.0,1.0,0.0
53,"Data Scientist, Search","Hoboken, NJ",NY,        Jet,61k-80k,70.5,As Data Scientist you will apply machine learning and optimization algorithms to improve search quality across Jet platforms....,0.0,0.0,0.0,0.0,1.0,0.0
54,"Medical Coder Analyst, Claims - Healthcare Analytics, McKins...","New York, NY 10022 (Midtown area)",NY,        McKinsey & Company,61k-80k,70.5,"It is a unique mix of Healthcare Experts, physicians, statisticians, engineers, data scientists, and more....",0.0,0.0,0.0,0.0,1.0,0.0
55,Analyst Sr - Research,"New York, NY",NY,    AMC Networks Inc.,61k-80k,70.5,Ability to clearly communicate data and produce analysis for multiple departments. OVERVIEW OF ROLE....,0.0,0.0,0.0,0.0,1.0,0.0
56,Research Data Analyst,"New York, NY",NY,        Weill Cornell Medical College,61k-80k,70.5,"Provide statistical expertise in analyzing data for the Patient-Centered Comparative Effectiveness Program. Interact with other members of the Core and, when...",0.0,0.0,0.0,0.0,1.0,0.0
57,Research Analyst,"New York, NY",NY,    HireNetworks,61k-80k,70.5,Ability to set up reports using the data that is being stored in the database. Seeking a Research Analyst with Yieldbook experience to fill a W2 contract-to...,0.0,0.0,0.0,0.0,1.0,0.0
58,"Research Analyst (Senior Level, PhD)","New York, NY 10007 (Financial District area)",NY,    NYC Criminal Justice Agency,61k-80k,70.5,"Conducting statistical analysis of data. Strong SPSS programming skills and an interest in data cleaning, data management, and statistical analysis are...",0.0,0.0,0.0,0.0,1.0,0.0
59,Statistical Analyst,"Harrison, NY",NY,        Wunderman,61k-80k,70.5,"Some experience as a data analyst/modeler, preferably dealing with large amounts of transaction data. The analyst should become familiar with the utilization of...",0.0,0.0,0.0,0.0,1.0,0.0
60,Market Research Associate Client Analyst,"New York, NY",NY,    Kantar Millward Brown,61k-80k,70.5,"Our Associate Client Analysts will design questionnaires, pull data, write reports, and understand how to tell a story from data....",0.0,0.0,0.0,0.0,1.0,0.0
61,Research Analyst,"New York, NY",NY,        NRT LLC,61k-80k,70.5,NRT LLC is the nation’s largest owner and operator of residential real estate brokerages operating in more than 50 of the 100 largest metropolitan areas in,0.0,0.0,0.0,0.0,1.0,0.0
62,"Research Analyst, VOD","New York, NY",NY,        NBCUniversal,61k-80k,70.5,"Create and maintain VOD sales estimates based on Nielsen data. Strong analytical skills, able to analyze qualitative and quantitative data with client needs in...",0.0,0.0,0.0,0.0,1.0,0.0
63,Analyst - Statistical Data,"New York, NY",NY,        NewYork-Presbyterian/Midtown Offices,61k-80k,70.5,"Analyst - Statistical Data. Bachelor’s Degree in Statistics, Mathematics, Economics, Public Health, Operations Research, Computer/Systems Engineering, or...",0.0,0.0,0.0,0.0,1.0,0.0
64,Data Manager,"New York, NY",NY,        Columbia University,61k-80k,70.5,"Preferably, the data manager would also be able to revamp the overall data acquisition of low-resolution clinical data from paper acquisition to a web-based...",0.0,0.0,0.0,0.0,1.0,0.0
65,Research Associate,"New York, NY 10005 (Financial District area)",NY,    Celmatix,61k-80k,70.5,Distill information from literature under the guidance of Research Scientists. We are seeking a research scientist to join our growing team....,0.0,0.0,0.0,0.0,1.0,0.0
66,"Senior Analyst, Quantitative Research","New York, NY",NY,    Kelton Global,61k-80k,70.5,Kelton is a strategy consultancy that creates consumer-oriented business solutions based on core human truths. We create brand relevance and resonance for our,0.0,0.0,0.0,0.0,1.0,0.0
67,Postdoctoral Fellow,"New York, NY 10021 (Upper East Side area)",NY,"    Weill Cornell Medicine, Meyer Cancer Center",61k-80k,70.5,"There will be numerous opportunities for training to complement current skills, and we envision numerous collaborations with other outstanding scientists....",0.0,0.0,0.0,0.0,1.0,0.0
68,FGP Reimbursement Analyst,"New York, NY",NY,        NYU Langone Medical Center,61k-80k,70.5,Maintain data integrity when manipulating data files for purposes of analysis to ensure data does not become corrupted through conscientious use of tools and a...,0.0,0.0,0.0,0.0,1.0,0.0
69,2017 Summer Intern - Clinical Analysis - Modeler,"New York, NY",NY,        Healthfirst,61k-80k,70.5,"Aspiring data scientist working towards an advanced degree in computer science, mathematics or economics, biostatistics or other quantitative discipline Fluency...",0.0,0.0,0.0,0.0,1.0,0.0
70,Water Quality Analyst,"New York, NY",NY,    DEPT OF ENVIRONMENT PROTECTION,61k-80k,70.5,S/he must also demonstrate the ability to connect technical data to policy level needs. Two years as a City Research Scientist Level I can be substituted for...,0.0,0.0,0.0,0.0,1.0,0.0
71,Data Scientist,"Parsippany, NJ",NY,        Wyndham Destination Network,61k-80k,70.5,The Data Scientist role provides a great opportunity for a creative and motivated individual who is passionate about using data and technology to drive...,0.0,0.0,0.0,0.0,1.0,0.0
72,Technical Researcher,"New York, NY",NY,    HOUSING PRESERVATION & DVLPMNT,61k-80k,70.5,"Reliability and validity, sampling, primary and secondary data collection, and data management. Experience managing and manipulating administrative data;...",0.0,0.0,0.0,0.0,1.0,0.0
73,Junior Research Analyst Internship – Inframation Group,"New York, NY",NY,    Mergermarket Group,61k-80k,70.5,"Inframation Group (IG) is looking to hire an intern for their database product, InfraDeals. The opportunity is for three months and around 40 hours per week",0.0,0.0,0.0,0.0,1.0,0.0
74,Postdoctoral Research Fellow Bioinformatics,"New York, NY",NY,        Memorial Sloan Kettering Cancer Center (MSKCC),61k-80k,70.5,We are seeking to expand our bioinformatics group to interrogate the data currently being generated in our in-house projects....,0.0,0.0,0.0,0.0,1.0,0.0
75,Application Scientist (Associate Automation Engineer),"New York, NY 10013 (Tribeca area)",NY,        New York Genome Center,61k-80k,70.5,"2+ years working in a molecular biology lab as a technician or application scientist; We are looking for a highly motivated, independent but team-oriented...",0.0,0.0,0.0,0.0,1.0,0.0
76,Loyalty - Research Analyst (Entry-Level),"New York, NY",NY,        Ipsos North America,61k-80k,70.5,"Find new spins on data visualization, attend and learn at the presentation stage. The ideal candidate is a business-minded individual who is interested in and...",0.0,0.0,0.0,0.0,1.0,0.0
77,Associate Scientist- Metabolism Institute,"New York, NY 10029 (Yorkville area)",NY,        Mount Sinai Health System,61k-80k,70.5,"For managing the lab, data management, overseeing adherence with lab safety. The....",0.0,0.0,0.0,0.0,1.0,0.0
78,"Senior Scientist, Statistical Programming Job","Rahway, NJ",NY,        Merck,61k-80k,70.5,"Senior Scientist, Statistical Programming-STA000821. Thorough knowledge of SDTM/ADAM data models and CDISC standard, programming techniques (SAS)....",0.0,0.0,0.0,0.0,1.0,0.0
79,User Experience Researcher,"New York, NY 10012 (Little Italy area)",NY,        Oscar Insurance,61k-80k,70.5,"At Oscar, you’ll work closely with product managers, marketers, designers, data scientists, and various stakeholders throughout the company....",0.0,0.0,0.0,0.0,1.0,0.0
80,"2017 Summer Analyst, Research ~ New York, NY","New York, NY 10162 (Upper East Side area)",NY,"    Jefferies & Company, Inc.",61k-80k,70.5,"The Equity Research Team is responsible for collecting and analyzing data including research on suppliers, vendors and customers....",0.0,0.0,0.0,0.0,1.0,0.0
81,Clinical Data Manager,"New York, NY",NY,        NYU Langone Medical Center,61k-80k,70.5,"Initiate data queries and oversee data query resolution from initiation through completion. Develop specifications and where possible, prepare data matrices,...",0.0,0.0,0.0,0.0,1.0,0.0
82,Data Science Instructor Lead,"New York, NY",NY,        General Assembly,61k-80k,70.5,"Our Data Science Immersive course is a brand-new, life-changing educational experience where students leave with the skills and mindsets to take on new careers...",0.0,0.0,0.0,0.0,1.0,0.0
83,"Senior Research Analyst, TV","New York, NY",NY,        ESPN,61k-80k,70.5,"Knowledge of media math concepts and data analysis. The Senior Research Analyst, TV will report, track and provide analysis of national and local TV ratings...",0.0,0.0,0.0,0.0,1.0,0.0
84,Senior Technical Consultant,"New York, NY",NY,        Adobe,61k-80k,70.5,"Lead and collaborate within a cross-functional team of architects, customer stakeholders, marketers, data scientists, technical team members, and other subject...",0.0,0.0,0.0,0.0,1.0,0.0
85,Manager - Enterprise Documents (Legal),"New York, NY",NY,        NYU Langone Medical Center,61k-80k,70.5,"Impending project includes School of Medicine Data Mart in capturing data elements for approximately 1,500 agreements....",0.0,0.0,0.0,0.0,1.0,0.0
86,Assistant Research Scientist,"New York, NY",NY,        New York University,61k-80k,70.5,"Assistant Research Scientist*. Uses computers for word processing, data acquisition and statistical analysis....",0.0,0.0,0.0,0.0,1.0,0.0
87,Market Research Analyst,"New York, NY",NY,        Guidepoint Global,61k-80k,70.5,Provide up-front consultation to clients seeking to conduct market research projects Scope out research design and assist with project feasibility on an as...,0.0,0.0,0.0,0.0,1.0,0.0
88,Sr Statistician SAS Programmer,"New York, NY",NY,        Columbia University,61k-80k,70.5,Work with the data management team to ensure data sets are ready for analysis or dissemination. This position is grant funded....,0.0,0.0,0.0,0.0,1.0,0.0
89,Machine Learning Engineer Internship,"New York, NY 10016 (Gramercy area)",NY,        FactSet Research Systems,61k-80k,70.5,"FactSet is a financial data and software company headquartered in Norwalk, Connecticut with offices in 35 locations worldwide....",0.0,0.0,0.0,0.0,1.0,0.0
90,Project Manager,"Manhattan, NY",NY,    HRA/DEPT OF SOCIAL SERVICES,61k-80k,70.5,"The Office of Data Reporting & Analysis is recruiting for two (2) City Research Scientists II, to function....",0.0,0.0,0.0,0.0,1.0,0.0
91,Quality Analyst,"New York, NY",NY,        Weill Cornell Medical College,61k-80k,70.5,"Collects and maintains performance data used to measure current quality and patient safety performance by designing queries, managing data dictionaries and...",0.0,0.0,0.0,0.0,1.0,0.0
92,Biostatistician II - Institute of Healthcare Delivery Scienc...,"New York, NY 10029 (Yorkville area)",NY,        Mount Sinai Health System,61k-80k,70.5,"Data management and statistical programming. Conducting data analysis and report writing under. And laboratories, our scientists continue to shape the future of...",0.0,0.0,0.0,0.0,1.0,0.0
93,Research Administration Business Analyst,"New York, NY",NY,        Weill Cornell Medical College,61k-80k,70.5,All such data should be treated as confidential and access and viewing of this data should be limited to the minimum required to perform assigned duties....,0.0,0.0,0.0,0.0,1.0,0.0
94,Machine Learning Engineer Internship,"New York, NY 10016 (Gramercy area)",NY,        FactSet,61k-80k,70.5,Processing of financial data. FactSet is a financial data. FactSet is currently seeking talented students to work....,0.0,0.0,0.0,0.0,1.0,0.0
95,Senior Decision Scientist,"Jersey City, NJ",NY,        E*TRADE FINANCIAL,61k-80k,70.5,Large data sets and data manipulation. Work with data warehouse and other internal data platforms to extract customer information and profile customer behavior...,0.0,0.0,0.0,0.0,1.0,0.0
96,Budget Analyst,"New York, NY",NY,        Weill Cornell Medical College,61k-80k,70.5,"Gather industry or peer data for comparison and best practices. The doctors and scientists of Weill Cornell Medicine—faculty from Weill Cornell Medical College,...",0.0,0.0,0.0,0.0,1.0,0.0
97,AVP Intermediate Research Analyst,"New York, NY",NY,        OppenheimerFunds,61k-80k,70.5,"Analyze economic and market data, industry trends, issuer credit quality and security characteristics to support investment decisions....",0.0,0.0,0.0,0.0,1.0,0.0
98,Content Strategist,"New York, NY",NY,    Gro Intelligence,61k-80k,70.5,Successful candidates are hybrids between writers and data scientists that can tell great data-driven stories. Strong data visualization skills....,0.0,0.0,0.0,0.0,1.0,0.0
99,Data Scientist,"New York, NY",NY,        Dailymotion,81k-100k,90.5,"Passion to learn how to be an excellent Data Scientist from your peers, manager, and other stakeholders....",0.0,0.0,0.0,0.0,1.0,0.0
100,Data Scientist,"New York, NY",NY,        Healthfirst,81k-100k,90.5,The Data Scientist helps Healthfirst discover the information hidden in vast amounts of data so that informed Enrollment and Billing decisions are made in...,0.0,0.0,0.0,0.0,1.0,0.0
101,Accenture Analytics - Data Science Analyst,"New York, NY 10011 (Chelsea area)",NY,        Accenture,81k-100k,90.5,Architect and analyze big data in order to build data driven business insights. Analytics - Data Science Analyst....,0.0,0.0,0.0,0.0,1.0,0.0
102,Quantitative Analyst,"New York, NY",NY,"    Two Sigma Investments, LLC.",81k-100k,90.5,Experience working with large data sets. We are seeking world-class researchers and engineers who are obsessive about data analysis and the pursuit of its...,0.0,0.0,0.0,0.0,1.0,0.0
103,Data Scientist,"New York, NY 10003 (Greenwich Village area)",NY,        Verizon,81k-100k,90.5,Familiarity and experience with creating analytical data sets. In depth experience with exploratory Big Data discovery through the use of technologies such as...,0.0,0.0,0.0,0.0,1.0,0.0
104,Data Scientist,"New York, NY",NY,        Bonobos,81k-100k,90.5,Bonobos is seeking a Data Scientist to optimize operational and economic inefficiencies and to create practical solutions to business problems using data and...,0.0,0.0,0.0,0.0,1.0,0.0
105,"Manager, Data Acquisition & Analysis","New York, NY",NY,        NBCUniversal,81k-100k,90.5,"Create and manage data relationships with internal and external partners ensuring accuracy of data feeds. Collaborate with research, sales, operations and IT to...",0.0,0.0,0.0,0.0,1.0,0.0
106,"Lead Data Scientist, US RMBS","New York, NY 10005 (Financial District area)",NY,        DBRS,81k-100k,90.5,The Lead Data Scientist role is a unique and exciting opportunity to take on global ownership of the mortgage modeling process....,0.0,0.0,0.0,0.0,1.0,0.0
107,Data Scientist for Top - Ranked Travel Company,"New York, NY",NY,    Averity,81k-100k,90.5,This is an opportunity for an experienced Data Scientist to use your passion for advanced analytics and Big Data to impact a global company's success....,0.0,0.0,0.0,0.0,1.0,0.0
108,Data Scientist,"New York, NY",NY,"        Brooks Brothers Group, Inc",81k-100k,90.5,"Access and analyze customer (transactional/time-series) data for on-going and ad-hoc analyses. Maintain an active role in CRM database system, data quality and...",0.0,0.0,0.0,0.0,1.0,0.0
109,Senior Research Analyst,"New York, NY",NY,"    Business Insider, Inc.",81k-100k,90.5,"We're hiring a Senior Research Analyst to lead our e-commerce research team, as part of our growing team at Business InsiderIntelligence. Candidates will have",0.0,0.0,0.0,0.0,1.0,0.0
110,Senior Analyst,"New York, NY 10017 (Midtown area)",NY,        Wunderman,81k-100k,90.5,"Data visualization dash boards. Headquartered in New York, the agency brings together 7,000 creatives, data scientists, strategists and technologists in 175...",0.0,0.0,0.0,0.0,1.0,0.0
111,Data Scientist - Pricing,"New York, NY",NY,        OnDeck,81k-100k,90.5,"As a Data Scientist at OnDeck, you will:. The Analytics team at OnDeck not only uses Big Data to make OnDeck smarter in various spheres like Sales, Marketing,...",0.0,0.0,0.0,0.0,1.0,0.0
112,Global Markets – Structured Product Quantitative Analyst,"New York, NY",NY,        Citi,81k-100k,90.5,"Primary Location: United States,New York,New York Education: Master's Degree Job Function: Trading Schedule: Full-time Shift: Day Job Employee Status: Regular",0.0,0.0,0.0,0.0,1.0,0.0
113,Quantitative Portfolio Analyst - Global Portfolio Solutions,"New York, NY",NY,        Voya Financial,81k-100k,90.5,Thoughtful process of analyzing data and problem solving data to reach a well-reasoned solution. Solid analytical ability to research and analyze data....,0.0,0.0,0.0,0.0,1.0,0.0
114,Data Scientist,"Jersey City, NJ",NY,        Marlabs Inc.,81k-100k,90.5,"Data Science Training Topic*. 在科技服务方面成军20年,全球范围内员工超过2500人。虽然对于国际学生部分都是Consulting业务, 但跟大多数consulting 企业不同,Marlabs的主营业务是软件开发,consulting培训项目是因客户的大量需求营运而生...",0.0,0.0,0.0,0.0,1.0,0.0
115,Data Scientist - Scientific Computing,"New York, NY 10029 (Yorkville area)",NY,        Mount Sinai Health System,81k-100k,90.5,"Helps to develop a vision and implementation plan to link disparate data sources including EPIC EMR, biobank data, REDCAP data, omics data, etc. throughout...",0.0,0.0,0.0,0.0,1.0,0.0
